# Synthetic IR intensity spectrum (not a real compound)
# Peaks near 1700 cm-1 and 2900 cm-1 (plus weaker ~1450)
# x_unit=cm-1  y_unit=intensity  (not %T/A — A↔%T disabled for this fixture)
wavenumber_cm-1,intensity
1150.0000,0.011252
1152.0000,0.023176
1154.0000,0.020483
1156.0000,0.009579
1158.0000,0.019590
1160.0000,0.019362
1162.0000,0.034380
1164.0000,0.027154
1166.0000,0.020092
1168.0000,0.021990
1170.0000,0.020354
1172.0000,0.018377
1174.0000,0.011341
1176.0000,0.018792
1178.0000,0.014031
1180.0000,0.009997
1182.0000,0.024090
1184.0000,0.023130
1186.0000,0.005706
1188.0000,0.019019
1190.0000,0.027966
1192.0000,0.028474
1194.0000,0.028207
1196.0000,0.020311
1198.0000,0.013240
1200.0000,0.011330
1202.0000,0.022757
1204.0000,0.023034
1206.0000,0.030299
1208.0000,0.028800
1210.0000,0.018942
1212.0000,0.010046
1214.0000,0.017447
1216.0000,0.021738
1218.0000,0.018383
1220.0000,0.015377
1222.0000,0.022023
1224.0000,0.015968
1226.0000,0.014975
1228.0000,0.022492
1230.0000,0.016784
1232.0000,0.021953
1234.0000,0.022186
1236.0000,0.010885
1238.0000,0.016150
1240.0000,0.031502
1242.0000,0.010703
1244.0000,0.003067
1246.0000,0.005105
1248.0000,0.020233
1250.0000,0.020247
1252.0000,0.019059
1254.0000,0.029714
1256.0000,-0.001383
1258.0000,0.023167
1260.0000,0.032492
1262.0000,0.010978
1264.0000,0.016962
1266.0000,0.013977
1268.0000,0.012845
1270.0000,0.017390
1272.0000,0.031420
1274.0000,0.034699
1276.0000,0.017312
1278.0000,0.035240
1280.0000,0.020285
1282.0000,0.034030
1284.0000,0.019254
1286.0000,0.021048
1288.0000,0.022924
1290.0000,0.045431
1292.0000,0.026810
1294.0000,0.014342
1296.0000,0.027752
1298.0000,0.017105
1300.0000,0.016082
1302.0000,0.027269
1304.0000,0.020249
1306.0000,0.022229
1308.0000,0.020112
1310.0000,0.022693
1312.0000,0.023400
1314.0000,0.004504
1316.0000,0.025333
1318.0000,0.012144
1320.0000,0.008462
1322.0000,0.019533
1324.0000,0.020672
1326.0000,0.014452
1328.0000,0.026648
1330.0000,0.009263
1332.0000,0.016744
1334.0000,0.015321
1336.0000,0.019627
1338.0000,0.022231
1340.0000,0.011937
1342.0000,0.025794
1344.0000,0.020504
1346.0000,0.004864
1348.0000,0.004331
1350.0000,0.019901
1352.0000,0.018232
1354.0000,0.019173
1356.0000,0.019776
1358.0000,0.021804
1360.0000,0.027581
1362.0000,0.011111
1364.0000,0.010624
1366.0000,0.011253
1368.0000,0.022311
1370.0000,0.029960
1372.0000,0.016550
1374.0000,-0.000013
1376.0000,0.006369
1378.0000,0.013338
1380.0000,0.015543
1382.0000,0.016742
1384.0000,0.020324
1386.0000,0.017534
1388.0000,0.028443
1390.0000,0.014676
1392.0000,0.013243
1394.0000,0.024066
1396.0000,0.008098
1398.0000,0.023732
1400.0000,0.021787
1402.0000,0.020314
1404.0000,0.034975
1406.0000,0.018407
1408.0000,0.041443
1410.0000,0.025338
1412.0000,0.019884
1414.0000,0.034593
1416.0000,0.030545
1418.0000,0.039671
1420.0000,0.057010
1422.0000,0.068227
1424.0000,0.070681
1426.0000,0.097409
1428.0000,0.114537
1430.0000,0.134268
1432.0000,0.145923
1434.0000,0.172446
1436.0000,0.166680
1438.0000,0.198994
1440.0000,0.213248
1442.0000,0.237811
1444.0000,0.246207
1446.0000,0.259938
1448.0000,0.282845
1450.0000,0.268642
1452.0000,0.271098
1454.0000,0.259409
1456.0000,0.251385
1458.0000,0.236905
1460.0000,0.223771
1462.0000,0.210860
1464.0000,0.194905
1466.0000,0.164015
1468.0000,0.146404
1470.0000,0.113571
1472.0000,0.104574
1474.0000,0.097032
1476.0000,0.082586
1478.0000,0.065476
1480.0000,0.060925
1482.0000,0.049611
1484.0000,0.048758
1486.0000,0.036349
1488.0000,0.027255
1490.0000,0.029828
1492.0000,0.001516
1494.0000,0.026448
1496.0000,-0.006919
1498.0000,0.007706
1500.0000,0.024581
1502.0000,0.024434
1504.0000,0.011084
1506.0000,0.014538
1508.0000,0.031106
1510.0000,0.016212
1512.0000,0.037992
1514.0000,0.020012
1516.0000,0.023280
1518.0000,0.032944
1520.0000,0.021053
1522.0000,0.011984
1524.0000,0.019123
1526.0000,0.019716
1528.0000,0.009082
1530.0000,0.017954
1532.0000,0.014063
1534.0000,0.027395
1536.0000,0.020277
1538.0000,0.017738
1540.0000,0.019151
1542.0000,0.021785
1544.0000,0.024935
1546.0000,0.012002
1548.0000,0.011667
1550.0000,0.028837
1552.0000,0.016701
1554.0000,0.008665
1556.0000,0.023551
1558.0000,0.023707
1560.0000,0.007754
1562.0000,0.021836
1564.0000,0.025885
1566.0000,0.022996
1568.0000,0.025057
1570.0000,0.008767
1572.0000,0.022650
1574.0000,0.017582
1576.0000,0.016142
1578.0000,0.026971
1580.0000,0.031843
1582.0000,0.034368
1584.0000,0.030537
1586.0000,0.019150
1588.0000,0.022861
1590.0000,0.026191
1592.0000,0.021049
1594.0000,0.021158
1596.0000,0.026747
1598.0000,0.019744
1600.0000,0.014468
1602.0000,0.017099
1604.0000,0.025637
1606.0000,0.020790
1608.0000,0.023753
1610.0000,0.026741
1612.0000,0.018837
1614.0000,0.028474
1616.0000,0.026213
1618.0000,0.014272
1620.0000,0.036917
1622.0000,0.022919
1624.0000,0.015620
1626.0000,0.022903
1628.0000,0.026059
1630.0000,0.038274
1632.0000,0.040078
1634.0000,0.044899
1636.0000,0.058932
1638.0000,0.064281
1640.0000,0.073050
1642.0000,0.084298
1644.0000,0.098158
1646.0000,0.090458
1648.0000,0.120545
1650.0000,0.124360
1652.0000,0.162767
1654.0000,0.185566
1656.0000,0.219617
1658.0000,0.248967
1660.0000,0.271856
1662.0000,0.299492
1664.0000,0.343010
1666.0000,0.372726
1668.0000,0.416695
1670.0000,0.465966
1672.0000,0.496214
1674.0000,0.550499
1676.0000,0.593120
1678.0000,0.623421
1680.0000,0.681325
1682.0000,0.720090
1684.0000,0.754145
1686.0000,0.783289
1688.0000,0.815195
1690.0000,0.846503
1692.0000,0.879421
1694.0000,0.886805
1696.0000,0.912054
1698.0000,0.907191
1700.0000,0.918367
1702.0000,0.918002
1704.0000,0.928114
1706.0000,0.883431
1708.0000,0.886856
1710.0000,0.852003
1712.0000,0.825358
1714.0000,0.790334
1716.0000,0.756887
1718.0000,0.713272
1720.0000,0.685167
1722.0000,0.627408
1724.0000,0.596759
1726.0000,0.538899
1728.0000,0.500195
1730.0000,0.449501
1732.0000,0.420346
1734.0000,0.388511
1736.0000,0.338510
1738.0000,0.301920
1740.0000,0.261317
1742.0000,0.237631
1744.0000,0.198510
1746.0000,0.178300
1748.0000,0.164293
1750.0000,0.152354
1752.0000,0.145935
1754.0000,0.102629
1756.0000,0.104712
1758.0000,0.082970
1760.0000,0.069311
1762.0000,0.065023
1764.0000,0.054469
1766.0000,0.048477
1768.0000,0.039002
1770.0000,0.026672
1772.0000,0.021879
1774.0000,0.036490
1776.0000,0.026647
1778.0000,0.022157
1780.0000,0.025446
1782.0000,0.030510
1784.0000,0.024625
1786.0000,0.017176
1788.0000,0.031646
1790.0000,0.034014
1792.0000,0.024988
1794.0000,0.028555
1796.0000,0.030501
1798.0000,0.029455
1800.0000,0.025215
1802.0000,0.025005
1804.0000,0.024314
1806.0000,0.011334
1808.0000,0.025686
1810.0000,0.009210
1812.0000,0.013683
1814.0000,0.030456
1816.0000,0.026741
1818.0000,0.031912
1820.0000,0.017836
1822.0000,0.010788
1824.0000,0.018081
1826.0000,0.020819
1828.0000,0.020634
1830.0000,0.029071
1832.0000,0.017111
1834.0000,0.022817
1836.0000,0.012091
1838.0000,0.023603
1840.0000,0.020025
1842.0000,0.014002
1844.0000,0.018113
1846.0000,0.018527
1848.0000,0.017839
1850.0000,0.034171
1852.0000,0.019212
1854.0000,0.018049
1856.0000,0.003220
1858.0000,0.012846
1860.0000,0.017895
1862.0000,0.014513
1864.0000,0.031054
1866.0000,0.018680
1868.0000,0.030308
1870.0000,0.020494
1872.0000,0.020298
1874.0000,0.019290
1876.0000,0.020030
1878.0000,0.033750
1880.0000,0.001443
1882.0000,0.003988
1884.0000,0.015655
1886.0000,0.020116
1888.0000,0.025521
1890.0000,0.023785
1892.0000,0.016926
1894.0000,0.028152
1896.0000,0.028242
1898.0000,0.021472
1900.0000,0.027701
1902.0000,0.022181
1904.0000,0.015508
1906.0000,0.025583
1908.0000,0.020885
1910.0000,0.020011
1912.0000,0.031784
1914.0000,0.000393
1916.0000,0.008659
1918.0000,0.010503
1920.0000,0.017094
1922.0000,0.017963
1924.0000,0.007941
1926.0000,0.012119
1928.0000,0.013113
1930.0000,0.039659
1932.0000,0.034414
1934.0000,0.016706
1936.0000,0.017091
1938.0000,0.010806
1940.0000,0.004735
1942.0000,0.019065
1944.0000,0.012017
1946.0000,0.019321
1948.0000,0.007198
1950.0000,0.013904
1952.0000,0.021189
1954.0000,0.022930
1956.0000,0.023340
1958.0000,0.009436
1960.0000,0.026837
1962.0000,0.013598
1964.0000,0.025063
1966.0000,0.019915
1968.0000,0.008989
1970.0000,0.017470
1972.0000,0.022923
1974.0000,0.024904
1976.0000,0.018872
1978.0000,0.032254
1980.0000,0.028060
1982.0000,0.017947
1984.0000,0.026001
1986.0000,0.035470
1988.0000,0.035684
1990.0000,0.010176
1992.0000,0.012588
1994.0000,0.031879
1996.0000,0.011534
1998.0000,0.009420
2000.0000,0.016110
2002.0000,0.023362
2004.0000,0.019181
2006.0000,0.014795
2008.0000,0.014606
2010.0000,0.014301
2012.0000,0.012964
2014.0000,0.038253
2016.0000,0.022380
2018.0000,0.027094
2020.0000,0.016087
2022.0000,0.018512
2024.0000,0.014292
2026.0000,-0.001214
2028.0000,0.008976
2030.0000,0.005515
2032.0000,0.002002
2034.0000,0.010437
2036.0000,0.030600
2038.0000,0.019645
2040.0000,0.030325
2042.0000,0.023288
2044.0000,0.026260
2046.0000,0.012793
2048.0000,0.024192
2050.0000,0.025830
2052.0000,0.015387
2054.0000,0.024476
2056.0000,0.024530
2058.0000,0.015604
2060.0000,0.011018
2062.0000,0.010527
2064.0000,0.020692
2066.0000,0.022616
2068.0000,0.013660
2070.0000,0.020213
2072.0000,0.024564
2074.0000,0.024946
2076.0000,0.032415
2078.0000,0.030216
2080.0000,0.011990
2082.0000,0.033469
2084.0000,0.015752
2086.0000,0.028359
2088.0000,0.020544
2090.0000,0.016703
2092.0000,0.005538
2094.0000,0.018627
2096.0000,0.007525
2098.0000,0.027738
2100.0000,0.032134
2102.0000,0.013625
2104.0000,0.022416
2106.0000,0.014197
2108.0000,0.014972
2110.0000,0.026196
2112.0000,0.019692
2114.0000,0.033917
2116.0000,0.016142
2118.0000,0.027995
2120.0000,0.020779
2122.0000,0.026366
2124.0000,0.016423
2126.0000,0.019604
2128.0000,0.019076
2130.0000,0.013312
2132.0000,0.025297
2134.0000,0.025202
2136.0000,0.024748
2138.0000,0.032296
2140.0000,0.031595
2142.0000,0.017000
2144.0000,0.022984
2146.0000,0.015011
2148.0000,0.020187
2150.0000,0.015202
2152.0000,0.032961
2154.0000,0.022910
2156.0000,0.018256
2158.0000,0.029549
2160.0000,0.002635
2162.0000,0.003887
2164.0000,0.026367
2166.0000,0.020484
2168.0000,0.022004
2170.0000,0.009389
2172.0000,0.019814
2174.0000,0.036028
2176.0000,0.026594
2178.0000,0.021358
2180.0000,0.016488
2182.0000,0.016843
2184.0000,0.002966
2186.0000,0.022061
2188.0000,0.026764
2190.0000,0.007395
2192.0000,0.014709
2194.0000,0.010740
2196.0000,0.012277
2198.0000,0.020428
2200.0000,0.003325
2202.0000,0.024914
2204.0000,0.026031
2206.0000,0.017991
2208.0000,0.000154
2210.0000,0.012029
2212.0000,0.029863
2214.0000,-0.002224
2216.0000,0.017220
2218.0000,0.010560
2220.0000,0.026437
2222.0000,0.014599
2224.0000,0.023232
2226.0000,0.024524
2228.0000,0.034690
2230.0000,0.018376
2232.0000,0.023008
2234.0000,0.008120
2236.0000,0.029523
2238.0000,0.013916
2240.0000,0.015514
2242.0000,0.019822
2244.0000,0.007497
2246.0000,0.021830
2248.0000,0.027740
2250.0000,0.022343
2252.0000,0.007289
2254.0000,0.019010
2256.0000,0.025936
2258.0000,0.004976
2260.0000,0.011402
2262.0000,0.027012
2264.0000,0.022161
2266.0000,0.023296
2268.0000,0.034876
2270.0000,0.023748
2272.0000,0.025263
2274.0000,0.041686
2276.0000,0.018290
2278.0000,0.013617
2280.0000,0.023422
2282.0000,0.023512
2284.0000,0.015786
2286.0000,0.011741
2288.0000,0.038479
2290.0000,0.022615
2292.0000,0.014142
2294.0000,0.027327
2296.0000,0.019127
2298.0000,0.017977
2300.0000,0.024498
2302.0000,0.009665
2304.0000,0.022821
2306.0000,0.035304
2308.0000,0.023729
2310.0000,0.016990
2312.0000,0.015943
2314.0000,0.016717
2316.0000,0.017968
2318.0000,0.016978
2320.0000,0.027330
2322.0000,0.006134
2324.0000,0.026896
2326.0000,0.016963
2328.0000,0.023016
2330.0000,0.010984
2332.0000,0.030629
2334.0000,0.029965
2336.0000,0.027677
2338.0000,0.007882
2340.0000,0.026633
2342.0000,0.023239
2344.0000,0.007158
2346.0000,0.019806
2348.0000,0.022916
2350.0000,0.024449
2352.0000,0.021418
2354.0000,0.022330
2356.0000,0.031789
2358.0000,0.029808
2360.0000,-0.002936
2362.0000,0.017460
2364.0000,0.018683
2366.0000,0.005983
2368.0000,0.020753
2370.0000,0.029990
2372.0000,0.011307
2374.0000,0.022691
2376.0000,0.012673
2378.0000,0.014625
2380.0000,0.031819
2382.0000,0.015660
2384.0000,0.023698
2386.0000,0.005030
2388.0000,0.034899
2390.0000,0.024821
2392.0000,0.018540
2394.0000,0.024604
2396.0000,0.008721
2398.0000,0.029460
2400.0000,0.017408
2402.0000,0.018367
2404.0000,0.016067
2406.0000,0.015355
2408.0000,0.025557
2410.0000,0.022047
2412.0000,0.025214
2414.0000,0.019930
2416.0000,0.024106
2418.0000,0.016649
2420.0000,0.037838
2422.0000,0.007457
2424.0000,0.030087
2426.0000,0.030943
2428.0000,0.013183
2430.0000,0.037834
2432.0000,0.027964
2434.0000,0.027769
2436.0000,0.020224
2438.0000,0.018262
2440.0000,0.018325
2442.0000,0.023124
2444.0000,0.031209
2446.0000,0.021451
2448.0000,0.012708
2450.0000,0.026595
2452.0000,0.027369
2454.0000,0.025237
2456.0000,0.025964
2458.0000,0.017833
2460.0000,0.012568
2462.0000,0.013054
2464.0000,0.006916
2466.0000,0.021896
2468.0000,0.019332
2470.0000,0.016480
2472.0000,-0.003645
2474.0000,0.010021
2476.0000,0.028967
2478.0000,0.014683
2480.0000,0.022885
2482.0000,0.008875
2484.0000,0.031510
2486.0000,0.018848
2488.0000,0.022320
2490.0000,0.038606
2492.0000,0.032132
2494.0000,0.017547
2496.0000,0.015254
2498.0000,0.017396
2500.0000,0.024079
2502.0000,0.019158
2504.0000,0.016838
2506.0000,0.031737
2508.0000,0.019086
2510.0000,0.038397
2512.0000,0.020726
2514.0000,0.034283
2516.0000,0.022859
2518.0000,0.027704
2520.0000,0.014203
2522.0000,0.013170
2524.0000,0.023678
2526.0000,0.027908
2528.0000,0.020322
2530.0000,0.009709
2532.0000,0.009118
2534.0000,0.008583
2536.0000,0.005859
2538.0000,0.020876
2540.0000,0.029000
2542.0000,0.019893
2544.0000,0.001917
2546.0000,0.018474
2548.0000,0.018698
2550.0000,0.036768
2552.0000,0.008343
2554.0000,0.016875
2556.0000,0.033647
2558.0000,0.023600
2560.0000,0.024507
2562.0000,0.020917
2564.0000,0.022640
2566.0000,0.026221
2568.0000,0.013524
2570.0000,0.027024
2572.0000,0.009016
2574.0000,0.022627
2576.0000,0.021430
2578.0000,0.015070
2580.0000,0.019819
2582.0000,0.015020
2584.0000,0.011426
2586.0000,0.017171
2588.0000,0.011168
2590.0000,0.022582
2592.0000,0.010799
2594.0000,0.025696
2596.0000,0.010548
2598.0000,0.015470
2600.0000,0.015003
2602.0000,0.030601
2604.0000,0.022642
2606.0000,0.018306
2608.0000,0.023990
2610.0000,0.003142
2612.0000,0.019655
2614.0000,0.035980
2616.0000,0.021059
2618.0000,0.020543
2620.0000,0.024385
2622.0000,0.027165
2624.0000,0.004020
2626.0000,0.006541
2628.0000,0.021682
2630.0000,0.014281
2632.0000,0.030496
2634.0000,0.017479
2636.0000,0.004524
2638.0000,0.009856
2640.0000,-0.001997
2642.0000,0.018127
2644.0000,0.018493
2646.0000,0.016604
2648.0000,0.028631
2650.0000,0.029588
2652.0000,0.018637
2654.0000,0.002922
2656.0000,0.024938
2658.0000,0.024443
2660.0000,0.022475
2662.0000,0.027852
2664.0000,0.010681
2666.0000,0.036070
2668.0000,0.012325
2670.0000,0.025994
2672.0000,0.006501
2674.0000,0.012558
2676.0000,0.032131
2678.0000,0.017913
2680.0000,0.026720
2682.0000,0.021896
2684.0000,0.019161
2686.0000,0.030911
2688.0000,0.018107
2690.0000,0.005755
2692.0000,0.013575
2694.0000,0.024411
2696.0000,0.023166
2698.0000,0.007466
2700.0000,0.014208
2702.0000,0.015350
2704.0000,0.017081
2706.0000,0.008998
2708.0000,0.014980
2710.0000,0.014180
2712.0000,0.026183
2714.0000,0.026487
2716.0000,0.018851
2718.0000,0.016886
2720.0000,0.021147
2722.0000,0.013502
2724.0000,0.010869
2726.0000,0.012533
2728.0000,0.014989
2730.0000,0.010776
2732.0000,0.021400
2734.0000,0.025965
2736.0000,0.007460
2738.0000,0.020393
2740.0000,0.018475
2742.0000,0.023019
2744.0000,0.020245
2746.0000,0.008794
2748.0000,0.010413
2750.0000,0.020854
2752.0000,0.028976
2754.0000,0.003182
2756.0000,0.023839
2758.0000,0.030801
2760.0000,0.020307
2762.0000,0.026223
2764.0000,0.016538
2766.0000,0.021605
2768.0000,0.010055
2770.0000,0.004806
2772.0000,0.031725
2774.0000,0.017023
2776.0000,0.022088
2778.0000,0.015593
2780.0000,0.016497
2782.0000,0.027633
2784.0000,0.024608
2786.0000,0.035083
2788.0000,0.037509
2790.0000,0.038523
2792.0000,0.040194
2794.0000,0.053524
2796.0000,0.035292
2798.0000,0.046669
2800.0000,0.059817
2802.0000,0.064924
2804.0000,0.047920
2806.0000,0.061750
2808.0000,0.080569
2810.0000,0.079756
2812.0000,0.083807
2814.0000,0.087655
2816.0000,0.094105
2818.0000,0.107918
2820.0000,0.112716
2822.0000,0.124227
2824.0000,0.135761
2826.0000,0.141023
2828.0000,0.162786
2830.0000,0.194700
2832.0000,0.170806
2834.0000,0.202030
2836.0000,0.208545
2838.0000,0.235192
2840.0000,0.247629
2842.0000,0.270745
2844.0000,0.292122
2846.0000,0.302954
2848.0000,0.329747
2850.0000,0.321729
2852.0000,0.373450
2854.0000,0.384344
2856.0000,0.410875
2858.0000,0.413601
2860.0000,0.437925
2862.0000,0.466950
2864.0000,0.486747
2866.0000,0.510028
2868.0000,0.536980
2870.0000,0.534266
2872.0000,0.575684
2874.0000,0.586766
2876.0000,0.603059
2878.0000,0.609974
2880.0000,0.641772
2882.0000,0.633282
2884.0000,0.671369
2886.0000,0.666475
2888.0000,0.689626
2890.0000,0.697510
2892.0000,0.715495
2894.0000,0.710740
2896.0000,0.710956
2898.0000,0.715073
2900.0000,0.730183
2902.0000,0.723416
2904.0000,0.713424
2906.0000,0.710278
2908.0000,0.693602
2910.0000,0.701571
2912.0000,0.675120
2914.0000,0.684426
2916.0000,0.667210
2918.0000,0.671691
2920.0000,0.628947
2922.0000,0.620922
2924.0000,0.619075
2926.0000,0.596231
2928.0000,0.562323
2930.0000,0.550179
2932.0000,0.528320
2934.0000,0.510019
2936.0000,0.481294
2938.0000,0.465068
2940.0000,0.431787
2942.0000,0.424441
2944.0000,0.405852
2946.0000,0.379525
2948.0000,0.347806
2950.0000,0.348392
2952.0000,0.323606
2954.0000,0.295607
2956.0000,0.280473
2958.0000,0.252645
2960.0000,0.239053
2962.0000,0.226270
2964.0000,0.224453
2966.0000,0.194322
2968.0000,0.190144
2970.0000,0.167079
2972.0000,0.160513
2974.0000,0.145317
2976.0000,0.142117
2978.0000,0.120289
2980.0000,0.102154
2982.0000,0.094557
2984.0000,0.092920
2986.0000,0.079404
2988.0000,0.085527
2990.0000,0.071966
2992.0000,0.088701
2994.0000,0.050347
2996.0000,0.060923
2998.0000,0.045784
3000.0000,0.046809
3002.0000,0.048239
3004.0000,0.025230
3006.0000,0.042796
3008.0000,0.053508
3010.0000,0.032328
3012.0000,0.035967
3014.0000,0.040259
3016.0000,0.029133
3018.0000,0.024376
3020.0000,0.009570
3022.0000,0.031813
3024.0000,0.024827
3026.0000,0.016801
3028.0000,0.025196
3030.0000,0.018891
3032.0000,0.018795
3034.0000,0.027410
3036.0000,0.011455
3038.0000,0.030200
3040.0000,0.010350
3042.0000,0.015982
3044.0000,0.036457
3046.0000,0.029915
3048.0000,0.021526
3050.0000,0.013094
3052.0000,0.016278
3054.0000,0.021009
3056.0000,0.020649
3058.0000,0.019559
3060.0000,0.019988
3062.0000,0.018477
3064.0000,0.008621
3066.0000,0.015995
3068.0000,0.027420
3070.0000,0.009137
3072.0000,0.018551
3074.0000,0.013496
3076.0000,0.020935
3078.0000,0.016926
3080.0000,0.031847
3082.0000,0.024075
3084.0000,0.009523
3086.0000,0.025384
3088.0000,0.013814
3090.0000,0.015393
3092.0000,0.022518
3094.0000,0.016071
3096.0000,0.027147
3098.0000,0.013807
3100.0000,0.015051
3102.0000,0.014751
3104.0000,0.015476
3106.0000,0.028795
3108.0000,0.025031
3110.0000,0.033680
3112.0000,0.038142
3114.0000,0.011755
3116.0000,0.020564
3118.0000,0.010591
3120.0000,0.013779
3122.0000,0.014959
3124.0000,0.011543
3126.0000,0.011585
3128.0000,0.018846
3130.0000,0.010266
3132.0000,0.026737
3134.0000,0.012658
3136.0000,0.042477
3138.0000,0.016389
3140.0000,0.020576
3142.0000,0.009637
3144.0000,0.033649
3146.0000,0.028956
3148.0000,0.022375
3150.0000,0.009226
3152.0000,0.021685
3154.0000,0.011029
3156.0000,0.031699
3158.0000,0.026474
3160.0000,0.020764
3162.0000,0.000509
3164.0000,0.012133
3166.0000,0.025502
3168.0000,0.029703
3170.0000,0.028873
3172.0000,0.007264
3174.0000,0.022412
3176.0000,0.028124
3178.0000,0.006733
3180.0000,0.019937
3182.0000,0.022191
3184.0000,0.017594
3186.0000,0.005183
3188.0000,0.017394
3190.0000,0.017382
3192.0000,0.018815
3194.0000,0.015492
3196.0000,0.016456
3198.0000,0.019682
3200.0000,0.023540
3202.0000,0.017565
3204.0000,0.016723
3206.0000,0.020739
3208.0000,0.004633
3210.0000,0.023816
3212.0000,0.019995
3214.0000,0.020318
3216.0000,0.027686
3218.0000,0.004377
3220.0000,0.004209
3222.0000,0.022190
3224.0000,0.019943
3226.0000,0.021361
3228.0000,0.016303
3230.0000,0.025315
3232.0000,0.027461
3234.0000,0.023872
3236.0000,0.017913
3238.0000,0.003138
3240.0000,0.026154
3242.0000,0.029774
3244.0000,0.025156
3246.0000,0.012963
3248.0000,0.025390
3250.0000,0.026884
3252.0000,0.032471
3254.0000,0.012991
3256.0000,0.018188
3258.0000,0.025978
3260.0000,0.020459
3262.0000,0.011061
3264.0000,0.023317
3266.0000,0.024629
3268.0000,0.020704
3270.0000,0.021757
3272.0000,0.017930
3274.0000,0.031826
3276.0000,0.012794
3278.0000,0.015301
3280.0000,0.020088
3282.0000,0.027032
3284.0000,0.008021
3286.0000,0.009518
3288.0000,0.003698
3290.0000,0.020262
3292.0000,0.011054
3294.0000,0.016924
3296.0000,0.025291
3298.0000,0.014868
3300.0000,0.021850
3302.0000,0.017605
3304.0000,0.025377
3306.0000,0.023801
3308.0000,0.014465
3310.0000,0.018651
3312.0000,0.028350
3314.0000,0.023147
3316.0000,0.008824
