# Synthetic UV-Vis absorbance spectrum (not a real compound)
# Peaks near 280 nm and 350 nm
# x_unit=nm  y_unit=A  (column 'absorbance' → Spectrum.y_unit 'A' for A↔%T)
wavelength_nm,absorbance
314.0000,0.146922
314.5000,0.152301
315.0000,0.149319
315.5000,0.156916
316.0000,0.165006
316.5000,0.173330
317.0000,0.167832
317.5000,0.172678
318.0000,0.169970
318.5000,0.184928
319.0000,0.185734
319.5000,0.193964
320.0000,0.198045
320.5000,0.208023
321.0000,0.206008
321.5000,0.213996
322.0000,0.238734
322.5000,0.228624
323.0000,0.236759
323.5000,0.258810
324.0000,0.271726
324.5000,0.259102
325.0000,0.271054
325.5000,0.282706
326.0000,0.297903
326.5000,0.292735
327.0000,0.304991
327.5000,0.318782
328.0000,0.325864
328.5000,0.330711
329.0000,0.340919
329.5000,0.343794
330.0000,0.358628
330.5000,0.367695
331.0000,0.379440
331.5000,0.384786
332.0000,0.399221
332.5000,0.411229
333.0000,0.416232
333.5000,0.426475
334.0000,0.434201
334.5000,0.443095
335.0000,0.448572
335.5000,0.462756
336.0000,0.469575
336.5000,0.489291
337.0000,0.495316
337.5000,0.497846
338.0000,0.500397
338.5000,0.506758
339.0000,0.526178
339.5000,0.529219
340.0000,0.537752
340.5000,0.533824
341.0000,0.554113
341.5000,0.558396
342.0000,0.556925
342.5000,0.566164
343.0000,0.575564
343.5000,0.579897
344.0000,0.583217
344.5000,0.588848
345.0000,0.592425
345.5000,0.598391
346.0000,0.608544
346.5000,0.591517
347.0000,0.605930
347.5000,0.610353
348.0000,0.612895
348.5000,0.611084
349.0000,0.605268
349.5000,0.616378
350.0000,0.623637
350.5000,0.607169
351.0000,0.618571
351.5000,0.611601
352.0000,0.611509
352.5000,0.604706
353.0000,0.606042
353.5000,0.611551
354.0000,0.604899
354.5000,0.607190
355.0000,0.600572
355.5000,0.592660
356.0000,0.594597
356.5000,0.583129
357.0000,0.579784
357.5000,0.568538
358.0000,0.564408
358.5000,0.554335
359.0000,0.556221
359.5000,0.538552
360.0000,0.541260
360.5000,0.529048
361.0000,0.528274
361.5000,0.518369
362.0000,0.515709
362.5000,0.502062
363.0000,0.482178
363.5000,0.481177
364.0000,0.466985
364.5000,0.461463
365.0000,0.462713
365.5000,0.449354
366.0000,0.433606
366.5000,0.422907
367.0000,0.418969
367.5000,0.403523
368.0000,0.397036
368.5000,0.392738
369.0000,0.387754
369.5000,0.375849
370.0000,0.352218
370.5000,0.356118
371.0000,0.345945
371.5000,0.338720
372.0000,0.335886
372.5000,0.308742
373.0000,0.307466
373.5000,0.304857
374.0000,0.285604
374.5000,0.292636
375.0000,0.278986
375.5000,0.273415
376.0000,0.258522
376.5000,0.257803
377.0000,0.251601
377.5000,0.240120
378.0000,0.233001
378.5000,0.226233
379.0000,0.213800
379.5000,0.210799
380.0000,0.204381
380.5000,0.200856
381.0000,0.197922
381.5000,0.181803
382.0000,0.180833
382.5000,0.183417
383.0000,0.167031
383.5000,0.161563
384.0000,0.161797
384.5000,0.160301
385.0000,0.151611
385.5000,0.153851
386.0000,0.147318
386.5000,0.143244
387.0000,0.137975
387.5000,0.143177
388.0000,0.127010
388.5000,0.114673
389.0000,0.129520
389.5000,0.116169
390.0000,0.116101
390.5000,0.119355
391.0000,0.102179
391.5000,0.101448
392.0000,0.097344
392.5000,0.099148
393.0000,0.103205
393.5000,0.101630
394.0000,0.098504
394.5000,0.088279
395.0000,0.082115
395.5000,0.092357
396.0000,0.088240
396.5000,0.091500
397.0000,0.091402
397.5000,0.087354
398.0000,0.089312
398.5000,0.085580
399.0000,0.086077
399.5000,0.078963
400.0000,0.080712
400.5000,0.081778
401.0000,0.084137
401.5000,0.077360
402.0000,0.081280
402.5000,0.076739
403.0000,0.076919
403.5000,0.081136
404.0000,0.066545
404.5000,0.069587
405.0000,0.068253
405.5000,0.063624
406.0000,0.071560
406.5000,0.078386
407.0000,0.072930
407.5000,0.075085
408.0000,0.079307
408.5000,0.080286
409.0000,0.073109
409.5000,0.080050
410.0000,0.073587
410.5000,0.068800
411.0000,0.069892
411.5000,0.065352
412.0000,0.068218
412.5000,0.070785
413.0000,0.076521
413.5000,0.081045
414.0000,0.065478
414.5000,0.074310
415.0000,0.067108
415.5000,0.074656
416.0000,0.071607
416.5000,0.063093
417.0000,0.076881
417.5000,0.069211
418.0000,0.069568
418.5000,0.066895
419.0000,0.068983
419.5000,0.074408
420.0000,0.071340
420.5000,0.073950
421.0000,0.074140
421.5000,0.078959
422.0000,0.070671
422.5000,0.065031
423.0000,0.077784
423.5000,0.070824
424.0000,0.078091
424.5000,0.074472
425.0000,0.071938
425.5000,0.074377
426.0000,0.082429
426.5000,0.083101
427.0000,0.073105
427.5000,0.073603
428.0000,0.078227
428.5000,0.068662
429.0000,0.074601
429.5000,0.072853
430.0000,0.074598
430.5000,0.068908
431.0000,0.065174
431.5000,0.062805
432.0000,0.067630
432.5000,0.070972
433.0000,0.071847
433.5000,0.083048
434.0000,0.078940
434.5000,0.068649
435.0000,0.075246
435.5000,0.071522
436.0000,0.072184
436.5000,0.074582
437.0000,0.076801
437.5000,0.072058
438.0000,0.079123
438.5000,0.068143
439.0000,0.073934
439.5000,0.086941
440.0000,0.075117
440.5000,0.081218
441.0000,0.074559
441.5000,0.077055
442.0000,0.073917
442.5000,0.073399
443.0000,0.070403
443.5000,0.076502
444.0000,0.070143
444.5000,0.077778
445.0000,0.079927
445.5000,0.076383
446.0000,0.073169
446.5000,0.076920
447.0000,0.073157
447.5000,0.079428
448.0000,0.065643
448.5000,0.073172
449.0000,0.064946
449.5000,0.067475
450.0000,0.081819
450.5000,0.079526
451.0000,0.071503
451.5000,0.067638
452.0000,0.060377
452.5000,0.072533
453.0000,0.087402
453.5000,0.077524
454.0000,0.072602
454.5000,0.077775
455.0000,0.067695
455.5000,0.074063
456.0000,0.076097
456.5000,0.075220
457.0000,0.079654
457.5000,0.077473
458.0000,0.079142
458.5000,0.072408
459.0000,0.080389
459.5000,0.084095
460.0000,0.071149
460.5000,0.071612
461.0000,0.082779
461.5000,0.075193
462.0000,0.083219
462.5000,0.074037
463.0000,0.083575
463.5000,0.077007
464.0000,0.077691
464.5000,0.084274
465.0000,0.074691
465.5000,0.071844
466.0000,0.074357
466.5000,0.078912
467.0000,0.068871
467.5000,0.079937
468.0000,0.074106
468.5000,0.082589
469.0000,0.064929
469.5000,0.073017
470.0000,0.068568
470.5000,0.072919
471.0000,0.078338
471.5000,0.076254
472.0000,0.075933
472.5000,0.076454
473.0000,0.078317
473.5000,0.072307
474.0000,0.080934
474.5000,0.080763
475.0000,0.079425
475.5000,0.080333
476.0000,0.079082
476.5000,0.087825
477.0000,0.077265
477.5000,0.076215
478.0000,0.074032
478.5000,0.072689
479.0000,0.071678
479.5000,0.073506
480.0000,0.077647
480.5000,0.079721
481.0000,0.078356
481.5000,0.074322
482.0000,0.082701
482.5000,0.081947
483.0000,0.077502
483.5000,0.075085
484.0000,0.081142
484.5000,0.079390
485.0000,0.071259
485.5000,0.078210
486.0000,0.079910
486.5000,0.074152
487.0000,0.079649
487.5000,0.071476
488.0000,0.085481
488.5000,0.085090
489.0000,0.077637
489.5000,0.080767
490.0000,0.066950
490.5000,0.073268
491.0000,0.077631
491.5000,0.073789
492.0000,0.082772
492.5000,0.089236
493.0000,0.073417
493.5000,0.075163
494.0000,0.080577
494.5000,0.087506
495.0000,0.073388
495.5000,0.080795
496.0000,0.088706
496.5000,0.071391
497.0000,0.073295
497.5000,0.077632
498.0000,0.077197
498.5000,0.083913
499.0000,0.081108
499.5000,0.071075
500.0000,0.082577
